Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
   474 c_uf_474     B              0                           0 
   475 c_uf_475     B              0                           0 
   476 c_uf_476     B              0                           0 
   477 c_uf_477     B              0                           0 
   478 c_uf_478     B              0                           0 
   479 c_uf_479     B              0                           0 
   480 c_uf_480     B              0                           0 
   481 c_ud_1       NL            20            20                        1000 
   482 c_ud_2       NL           250           250                         600 
   483 c_ud_3       NL           250           250                         600 
   484 c_ud_4       NL           250           250                         600 
   485 c_ud_5       B          187.5            75               
   486 c_ud_6       B            125            20               
   487 c_ud_7       NL            20            20                        1000 
   488 c_ud_8       NL           250           250                        1000 
   489 c_ud_9       NL           250           250                        1000 
   490 c_ud_10      NL           250           250                        1000 
   491 c_ud_11      B        164.062            75               
   492 c_ud_12      B        132.813            20               
   493 c_ud_13      NL            20            20                        1000 
   494 c_ud_14      NL           250           250                        1000 
   495 c_ud_15      NL           250           250                        1000 
   496 c_ud_16      NL           250           250                        1000 
   497 c_ud_17      B        164.063            75               
   498 c_ud_18      B        132.812            20               
   499 c_ud_19      NL            20            20                        1000 
   500 c_ud_20      NL           250           250                        1000 
   501 c_ud_21      NL           250           250                        1000 
   502 c_ud_22      NL           250           250                        1000 
   503 c_ud_23      NL            75            75                       < eps
   504 c_ud_24      NL            20            20                       < eps
   505 c_cpmy_1_1_Mar_1
                    NU             0                           0        -20000 
   506 c_cpmy_1_1_Mar_2
                    B            0.5                           1 
   507 c_cpmy_1_1_Mar_3
                    NU             1                           1         -5000 
   508 c_cpmy_1_1_Mar_4
                    B              1                           1 
   509 c_cpmy_1_1_Mar_5
                    B            0.5                           1 
   510 c_cpmy_1_1_Mar_6
                    NU             1                           1         < eps
   511 c_cpmy_1_1_Mar_14
                    B              1                           1 
   512 c_cpmy_2_1_Mar_1
                    B           -0.5                           0 
   513 c_cpmy_2_1_Mar_2
                    NU             1                           1         -5000 
   514 c_cpmy_2_1_Mar_3
                    B              1                           1 
   515 c_cpmy_2_1_Mar_4
                    NU             1                           1         -5000 
   516 c_cpmy_2_1_Mar_5
                    B            0.5                           1 
   517 c_cpmy_2_1_Mar_6
                    B              1                           1 
   518 c_cpmy_2_1_Mar_14
                    B              1                           1 
   519 c_cpmy_2_1_Mar_15
                    B              1                           1 
   520 c_cpmy_3_1_Mar_1
                    B           -0.5                           0 
   521 c_cpmy_3_1_Mar_2
                    NU             1                           1         -5000 
   522 c_cpmy_3_1_Mar_3
                    B              1                           1 
   523 c_cpmy_3_1_Mar_4
                    B              1                           1 
   524 c_cpmy_3_1_Mar_5
                    B            0.5                           1 
   525 c_cpmy_3_1_Mar_6
                    B              1                           1 
   526 c_cpmy_3_1_Mar_14
                    B              1                           1 
